# AMS-02 positron fraction data. 
# Downloaded from http://prl.aps.org/supplemental/PRL/v110/i14/e141102
#
# Emin Emax Npositrons PFraction errstat. errvarious ... errsys
#
27.34 28.87   1260  0.0694  0.0020   0.0001  0.0001  0.0000  0.0001  0.0003  0.0003  
28.87 30.45   1137  0.0710  0.0021   0.0001  0.0002  0.0000  0.0001  0.0003  0.0004  
30.45 32.10   1094  0.0701  0.0022   0.0001  0.0002  0.0000  0.0001  0.0003  0.0004  
32.10 33.80     888  0.0707  0.0024   0.0001  0.0002  0.0000  0.0001  0.0004  0.0005  
33.80 35.57     807  0.0718  0.0026   0.0001  0.0003  0.0000  0.0001  0.0004  0.0005  
35.57 37.40     787  0.0747  0.0027   0.0001  0.0003  0.0000  0.0001  0.0004  0.0005  
37.40 40.00     982  0.0794  0.0026   0.0002  0.0004  0.0000  0.0001  0.0004  0.0006  
40.00 43.39     976  0.0802  0.0026   0.0002  0.0005  0.0000  0.0001  0.0004  0.0007  
43.39 47.01     856  0.0817  0.0029   0.0002  0.0005  0.0000  0.0001  0.0004  0.0007  
47.01 50.87     739  0.0856  0.0032   0.0002  0.0006  0.0000  0.0001  0.0004  0.0008  
50.87 54.98     605  0.0891  0.0038   0.0002  0.0006  0.0000  0.0001  0.0004  0.0008  
54.98 59.36     558  0.0957  0.0041   0.0002  0.0008  0.0000  0.0001  0.0005  0.0010  
59.36 64.03     448  0.0962  0.0047   0.0002  0.0009  0.0000  0.0002  0.0006  0.0011  
64.03 69.00     392  0.0978  0.0050   0.0002  0.0010  0.0000  0.0002  0.0007  0.0013  
69.00 74.30     324  0.1032  0.0057   0.0002  0.0010  0.0000  0.0002  0.0009  0.0014  
74.30 80.00     276  0.0985  0.0062   0.0002  0.0010  0.0000  0.0002  0.0010  0.0014  
80.00 86.00     232  0.1023  0.0067   0.0002  0.0010  0.0000  0.0002  0.0010  0.0014  
86.00 92.50     240  0.1120  0.0075   0.0002  0.0010  0.0000  0.0003  0.0011  0.0015  
92.50 100.0     226  0.1189  0.0081   0.0002  0.0011  0.0000  0.0003  0.0012  0.0017  
100.0 115.1     304  0.1118  0.0066   0.0002  0.0015  0.0000  0.0003  0.0015  0.0022  
115.1 132.1     223  0.1142  0.0080   0.0002  0.0019  0.0000  0.0004  0.0019  0.0027  
132.1 151.5     156  0.1215  0.0100   0.0002  0.0021  0.0000  0.0005  0.0024  0.0032  
151.5 173.5     144  0.1364  0.0121   0.0002  0.0026  0.0000  0.0006  0.0045  0.0052  
173.5 206.0     134  0.1485  0.0133   0.0002  0.0031  0.0000  0.0009  0.0050  0.0060  
206.0 260.0     101  0.1530  0.0160   0.0003  0.0031  0.0000  0.0013  0.0095  0.0101  
260.0 350.0      72  0.1550  0.0200   0.0003  0.0056  0.0000  0.0018  0.0140  0.0152  
